Display Name,Account Code,Account Name,Name,Security Description,Position,Underlying Equivalent Position,A:Market Value Local,Price,Expiration Date,Issuer,Is Closed
FB=G6 IS,ARBITRAG,209- ARBITRAGE FUND,Federal Bank Ltd Feb26,FB=G6,-7,-35000,-9833248.291,280.9499512,02/24/2026,Federal Bank Ltd,0
FORH=G6 IS,ARBITRAG,209- ARBITRAGE FUND,FORTIS HEALTHCAR Feb26,FORH=G6,-254,-196850,-163936641.6,832.7998047,02/24/2026,Fortis Healthcare Ltd,0
GAIL=G6 IS,ARBITRAG,209- ARBITRAGE FUND,Gail India Ltd Feb26,GAIL=G6,-30,-94500,-15162524.71,160.4499969,02/24/2026,GAIL India Ltd,0
GCPL=G6 IS,ARBITRAG,209- ARBITRAGE FUND,GODREJ CONSUMER Feb26,GCPL=G6,-102,-51000,-58614302.49,1149.300049,02/24/2026,Godrej Consumer Products Ltd,0
GMRAI=G6 IS,ARBITRAG,209- ARBITRAGE FUND,GMR AIRPORTS LTD Feb26,GMRAI=G6,-755,-5266125,-489591647.7,92.97000122,02/24/2026,GMR Airports Ltd,0
GNP=G6 IS,ARBITRAG,209- ARBITRAGE FUND,Glenmark Pharma Feb26,GNP=G6,-945,-354375,-678557267.3,1914.800049,02/24/2026,Glenmark Pharmaceuticals Ltd,0
GPL=G6 IS,ARBITRAG,209- ARBITRAGE FUND,GODREJ PROPERTIES Feb26,GPL=G6,-2036,-559900,-859726450,1535.5,02/24/2026,Godrej Properties Ltd,0
GRASI=G6 IS,ARBITRAG,209- ARBITRAGE FUND,Grasim Industries Feb26,GRASI=G6,-1379,-344750,-945614741.3,2742.899902,02/24/2026,Grasim Industries Ltd,0
HAMC=G6 IS,ARBITRAG,209- ARBITRAGE FUND,HDFC ASSET MGMT Feb26,HAMC=G6,-411,-123300,-308003400,2498,02/24/2026,HDFC Asset Management Co Ltd,0
HAVL=G6 IS,ARBITRAG,209- ARBITRAGE FUND,HAVELLS INDIA Feb26,HAVL=G6,-385,-192500,-244205471.8,1268.599854,02/24/2026,Havells India Ltd,0
